Created Date,Closed Date,Duration,Location Type,Incident Zip,City,Borough,Latitude,Longitude
2015-12-31 0:48:45,2015-12-31 5:15:43,4:26,Residential Building/House,10472,BRONX,BRONX,40.82946896,-73.85360744
2015-12-31 0:49:32,2015-12-31 5:30:06,4:40,Residential Building/House,11417,OZONE PARK,QUEENS,40.67779522,-73.83230164
2015-12-31 0:49:37,2015-12-31 6:23:57,5:34,Residential Building/House,11209,BROOKLYN,BROOKLYN,40.61752285,-74.03896639
2015-12-31 0:50:21,2015-12-31 8:55:55,8:05,Residential Building/House,10456,BRONX,BRONX,40.82924468,-73.91443332
2015-12-31 0:50:53,2015-12-31 7:33:10,6:42,Residential Building/House,11435,JAMAICA,QUEENS,40.70569681,-73.80830054
2015-12-31 0:50:53,2015-12-31 6:39:27,5:48,Residential Building/House,10025,NEW YORK,MANHATTAN,40.80139753,-73.96200956
2015-12-31 0:52:02,2015-12-31 4:18:19,3:26,Residential Building/House,10463,BRONX,BRONX,40.8872657,-73.90491204
2015-12-31 0:54:43,2015-12-31 4:18:24,3:23,Store/Commercial,10463,BRONX,BRONX,40.8872657,-73.90491204
2015-12-31 0:55:33,2015-12-31 1:54:42,0:59,Residential Building/House,11691,FAR ROCKAWAY,QUEENS,40.59425326,-73.75121009
2015-12-31 0:56:22,2015-12-31 5:21:17,4:24,Store/Commercial,10036,NEW YORK,MANHATTAN,40.76058323,-73.98592204
2015-12-31 0:56:27,2015-12-31 5:41:53,4:45,Residential Building/House,10455,BRONX,BRONX,40.81927919,-73.91522291
2015-12-31 0:58:06,2015-12-31 2:45:22,1:47,Residential Building/House,10033,NEW YORK,MANHATTAN,40.84582817,-73.93544033
2015-12-31 0:58:08,2015-12-31 8:32:22,7:34,Residential Building/House,10453,BRONX,BRONX,40.85051999,-73.91973389
2015-12-31 0:58:19,2015-12-31 2:58:16,1:59,Residential Building/House,11213,BROOKLYN,BROOKLYN,40.66785694,-73.93199346
2015-12-31 1:00:01,2015-12-31 1:07:56,0:07,Store/Commercial,10024,NEW YORK,MANHATTAN,40.78536042,-73.97298193
2015-12-31 1:00:13,2015-12-31 2:58:19,1:58,Residential Building/House,11213,BROOKLYN,BROOKLYN,40.66785694,-73.93199346
2015-12-31 1:00:22,2015-12-31 3:49:15,2:48,Store/Commercial,10034,NEW YORK,MANHATTAN,40.86589301,-73.92796579
2015-12-31 1:02:14,2015-12-31 1:34:03,0:31,Residential Building/House,10009,NEW YORK,MANHATTAN,40.7324096,-73.97657192
2015-12-31 1:03:38,2015-12-31 2:18:41,1:15,Club/Bar/Restaurant,11375,FOREST HILLS,QUEENS,40.7195082,-73.84250335
2015-12-31 1:04:25,2015-12-31 2:05:54,1:01,Residential Building/House,10011,NEW YORK,MANHATTAN,40.7442226,-74.00358719
2015-12-31 1:04:37,2015-12-31 6:25:36,5:20,Store/Commercial,11372,JACKSON HEIGHTS,QUEENS,40.7555836,-73.88520105
2015-12-31 1:04:47,2015-12-31 3:49:17,2:44,Store/Commercial,10040,NEW YORK,MANHATTAN,40.85932419,-73.93123734
2015-12-31 1:07:17,2015-12-31 10:23:37,9:16,Residential Building/House,11213,BROOKLYN,BROOKLYN,40.66358162,-73.93378564
2015-12-31 1:09:32,2015-12-31 2:59:39,1:50,Residential Building/House,11213,BROOKLYN,BROOKLYN,40.66785694,-73.93199346
2015-12-31 1:11:18,2015-12-31 4:13:15,3:01,Store/Commercial,11238,BROOKLYN,BROOKLYN,40.67218121,-73.95743278
2015-12-31 1:12:26,2015-12-31 1:32:49,0:20,Residential Building/House,10032,NEW YORK,MANHATTAN,40.83004667,-73.94169977
2015-12-31 1:13:25,2015-12-31 17:59:45,16:46,Store/Commercial,10016,NEW YORK,MANHATTAN,40.74729659,-73.97404398
2015-12-31 1:15:55,2015-12-31 1:40:38,0:24,Residential Building/House,10026,NEW YORK,MANHATTAN,40.79931101,-73.95311841
2015-12-31 1:16:01,2015-12-31 3:27:35,2:11,Residential Building/House,10033,NEW YORK,MANHATTAN,40.84689342,-73.9359923
2015-12-31 1:16:13,2015-12-31 2:19:53,1:03,Residential Building/House,10459,BRONX,BRONX,40.83087204,-73.8884462
2015-12-31 1:17:30,2015-12-31 3:41:33,2:24,Residential Building/House,11237,BROOKLYN,BROOKLYN,40.70129774,-73.92103158
2015-12-31 1:18:11,2015-12-31 2:59:36,1:41,Residential Building/House,11213,BROOKLYN,BROOKLYN,40.66785694,-73.93199346
2015-12-31 1:19:15,2015-12-31 4:51:47,3:32,Residential Building/House,11221,BROOKLYN,BROOKLYN,40.69057735,-73.93059281
2015-12-31 1:19:20,2015-12-31 5:26:49,4:07,Residential Building/House,11385,RIDGEWOOD,QUEENS,40.69961626,-73.90109
2015-12-31 1:19:31,2015-12-31 3:49:19,2:29,Street/Sidewalk,10034,NEW YORK,MANHATTAN,40.86688219,-73.92536517
2015-12-31 1:20:52,2015-12-31 1:39:12,0:18,Residential Building/House,10009,NEW YORK,MANHATTAN,40.7324096,-73.97657192
2015-12-31 1:22:20,2015-12-31 6:32:21,5:10,Residential Building/House,11213,BROOKLYN,BROOKLYN,40.66785694,-73.93199346
2015-12-31 1:22:37,2015-12-31 1:39:05,0:16,Club/Bar/Restaurant,10001,NEW YORK,MANHATTAN,40.7498823,-74.00258415
2015-12-31 1:23:30,2015-12-31 7:04:56,5:41,Residential Building/House,10472,BRONX,BRONX,40.83410524,-73.87499411
2015-12-31 1:25:03,2015-12-31 5:01:34,3:36,Residential Building/House,10469,BRONX,BRONX,40.86992445,-73.85459224
2015-12-31 1:25:27,2015-12-31 2:03:38,0:38,Residential Building/House,11233,BROOKLYN,BROOKLYN,40.68013115,-73.91121396
2015-12-31 1:25:59,2015-12-31 2:58:24,1:32,Residential Building/House,11213,BROOKLYN,BROOKLYN,40.66785694,-73.93199346
2015-12-31 1:27:25,2015-12-31 3:50:29,2:23,Street/Sidewalk,10034,NEW YORK,MANHATTAN,40.86688219,-73.92536517
2015-12-31 1:27:50,2015-12-31 2:58:27,1:30,Residential Building/House,11213,BROOKLYN,BROOKLYN,40.66785694,-73.93199346
2015-12-31 1:28:41,2015-12-31 3:38:13,2:09,Street/Sidewalk,10032,NEW YORK,MANHATTAN,40.83805814,-73.94664023
2015-12-31 1:30:41,2015-12-31 2:52:19,1:21,Club/Bar/Restaurant,11221,BROOKLYN,BROOKLYN,40.68970483,-73.91852118
2015-12-31 1:33:16,2015-12-31 10:07:10,8:33,Residential Building/House,10451,BRONX,BRONX,40.82673983,-73.91589271
2015-12-31 1:34:29,2015-12-31 2:59:30,1:25,Residential Building/House,11213,BROOKLYN,BROOKLYN,40.66785694,-73.93199346
2015-12-31 1:37:18,2015-12-31 2:59:30,1:22,Residential Building/House,11213,BROOKLYN,BROOKLYN,40.66785694,-73.93199346
2015-12-31 1:38:46,2015-12-31 2:53:36,1:14,Residential Building/House,11433,JAMAICA,QUEENS,40.70371428,-73.78751744
2015-12-31 1:38:53,2015-12-31 3:50:32,2:11,Store/Commercial,10040,NEW YORK,MANHATTAN,40.85932419,-73.93123734
2015-12-31 1:40:31,2015-12-31 4:14:49,2:34,Residential Building/House,10461,BRONX,BRONX,40.84657157,-73.82982678
2015-12-31 1:41:10,2015-12-31 2:52:21,1:11,Residential Building/House,11207,BROOKLYN,BROOKLYN,40.68584422,-73.90923404
2015-12-31 1:43:05,2015-12-31 2:24:20,0:41,Residential Building/House,10456,BRONX,BRONX,40.82983679,-73.90640699
2015-12-31 1:43:54,2015-12-31 2:25:28,0:41,Residential Building/House,10031,NEW YORK,MANHATTAN,40.82300792,-73.95067009
2015-12-31 1:44:05,2015-12-31 6:22:22,4:38,Store/Commercial,10036,NEW YORK,MANHATTAN,40.76253541,-73.99336512
2015-12-31 1:46:00,2015-12-31 2:59:31,1:13,Residential Building/House,11213,BROOKLYN,BROOKLYN,40.66785694,-73.93199346
2015-12-31 1:47:21,2015-12-31 3:23:09,1:35,Residential Building/House,10467,BRONX,BRONX,40.85874768,-73.86562454
2015-12-31 1:48:50,2015-12-31 15:26:16,13:37,Residential Building/House,11208,BROOKLYN,BROOKLYN,40.66640231,-73.86872994
2015-12-31 1:50:22,2015-12-31 6:07:30,4:17,Residential Building/House,10314,STATEN ISLAND,STATEN ISLAND,40.61699491,-74.15637229
2015-12-31 1:50:52,2015-12-31 2:52:30,1:01,Residential Building/House,11433,JAMAICA,QUEENS,40.70371428,-73.78751744
2015-12-31 1:55:27,2015-12-31 3:50:35,1:55,Club/Bar/Restaurant,10040,NEW YORK,MANHATTAN,40.85932419,-73.93123734
2015-12-31 1:56:25,2015-12-31 2:39:50,0:43,Residential Building/House,10002,NEW YORK,MANHATTAN,40.71046387,-73.98465574
2015-12-31 1:59:02,2015-12-31 5:34:21,3:35,Store/Commercial,10002,NEW YORK,MANHATTAN,40.71047784,-73.98657107
2015-12-31 2:01:47,2015-12-31 3:27:38,1:25,Residential Building/House,10033,NEW YORK,MANHATTAN,40.84689342,-73.9359923
2015-12-31 2:02:11,2015-12-31 4:51:52,2:49,Residential Building/House,11221,BROOKLYN,BROOKLYN,40.6892663,-73.93701984
2015-12-31 2:03:46,2015-12-31 4:25:44,2:21,Residential Building/House,10039,NEW YORK,MANHATTAN,40.82376379,-73.94125363
